"DeploymentSqlID","DeploymentJobID","SqlStatement","ExecuteDate","ActiveFlag"
"37","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblProductBlurbModuleReln', 'ProductBlurbModuleRelnID', ProductBlurbModuleRelnID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblProductBlurbModuleReln where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:28","0"
"38","1","delete tblProductBlurbModuleReln_LIVE from tblDeploymentQueue_U q, tblProductBlurbModuleReln_LIVE l where q.KeyNameValue = l.ProductBlurbModuleRelnID and q.DeploymentJobID = 1 and q.TableName = 'tblProductBlurbModuleReln' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"39","1","insert into tblProductBlurbModuleReln_LIVE select fn_a.ProductBlurbModuleID, fn_a.ProductID, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.ProductBlurbModuleRelnID from tblProductBlurbModuleReln fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.ProductBlurbModuleRelnID and q.DeploymentJobID = 1 and q.TableName = 'tblProductBlurbModuleReln' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"40","1","update tblProductBlurbModuleReln_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblProductBlurbModuleReln_LIVE l where q.KeyNameValue = l.ProductBlurbModuleRelnID and q.TableName = 'tblProductBlurbModuleReln' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"41","1","delete tblProductBlurbModuleReln from tblDeploymentQueue_U q, tblProductBlurbModuleReln cms where q.KeyNameValue = cms.ProductBlurbModuleRelnID and q.DeploymentJobID = 1 and q.TableName = 'tblProductBlurbModuleReln' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"42","1","update tblProductBlurbModuleReln set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblProductBlurbModuleReln cms where q.KeyNameValue = cms.ProductBlurbModuleRelnID and q.TableName = 'tblProductBlurbModuleReln' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:28","0"
"43","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblBusinessUnit', 'BusinessUnitID', BusinessUnitID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblBusinessUnit where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:29","0"
"44","1","delete tblBusinessUnit_LIVE from tblDeploymentQueue_U q, tblBusinessUnit_LIVE l where q.KeyNameValue = l.BusinessUnitID and q.DeploymentJobID = 1 and q.TableName = 'tblBusinessUnit' and UPPER(q.RecordAction) in ('DELETE','INSERT') and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"45","1","insert into tblBusinessUnit_LIVE select fn_a.BusinessUnitName, fn_a.DocAuthorization, fn_a.LogoImageID, fn_a.PublishDate, fn_a.ExpirationDate, fn_a.WorkflowStatus, fn_a.LastModifiedDate, fn_a.LastModifiedBy, fn_a.ActiveFlag, fn_a.MarkedForDeletion, fn_a.DeploymentJobID, fn_a.BusinessUnitID from tblBusinessUnit fn_a, tblDeploymentQueue_U q where q.KeyNameValue = fn_a.BusinessUnitID and q.DeploymentJobID = 1 and q.TableName = 'tblBusinessUnit' and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"46","1","update tblBusinessUnit_LIVE set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 1 from tblDeploymentQueue_U q, tblBusinessUnit_LIVE l where q.KeyNameValue = l.BusinessUnitID and q.TableName = 'tblBusinessUnit' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"47","1","delete tblBusinessUnit from tblDeploymentQueue_U q, tblBusinessUnit cms where q.KeyNameValue = cms.BusinessUnitID and q.DeploymentJobID = 1 and q.TableName = 'tblBusinessUnit' and UPPER(q.RecordAction) = 'DELETE' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"48","1","update tblBusinessUnit set MarkedForDeletion = 0, WorkflowStatus = 'LIVE', DeploymentJobId = 0, LastModifiedDate = getdate() from tblDeploymentQueue_U q, tblBusinessUnit cms where q.KeyNameValue = cms.BusinessUnitID and q.TableName = 'tblBusinessUnit' and q.DeploymentJobID = 1 and UPPER(q.RecordAction) = 'INSERT' and q.ActiveFlag = 1","2007-03-18 21:51:29","0"
"49","1","insert into tblDeploymentQueue_U (TableName, KeyName, KeyNameValue, RecordAction, DeploymentJobID, DeploymentDate, DeployedBy, ActiveFlag) select 'tblMarket', 'MarketID', MarketID, case MarkedForDeletion when 1 then 'DELETE' else 'INSERT' end , 1, getdate(), 'System Administrator', 1 from tblMarket where UPPER(WorkflowStatus) = 'PENDING DEPLOYMENT'","2007-03-18 21:51:29","0"
